chocolate_consumption;preferred_brand;frequency_preferred_brand;emotion_delisting;scale_milka;scale_clever;scale_rittersport;reaction_delisting_price;decision_price;reaction_delisting_no_price;decision_no_price;frequency_groceries;share_groceries;gender;age;education;income_monthly;area
2;2;3;2;4;2;2;;;1;2;2;70.38;2;1;3;2;4
2;2;2;3;5;1;3;;;3;1;1;80.83;2;1;3;1;5
2;1;4;2;3;1;1;2;4;;;2;85.21;2;2;3;5;5
2;1;4;2;3;1;4;;;1;2;2;90.37;2;1;3;1;5
2;2;2;3;3;2;5;1;1;;;2;85.07;2;1;4;3;4
2;2;3;2;2;1;3;;;1;1;1;72.03;2;2;2;2;5
2;2;2;2;4;4;2;1;1;;;1;94.62;2;2;3;3;1
2;2;2;2;3;1;4;1;1;;;1;70.38;2;1;3;2;5
1;1;5;3;1;1;4;;;1;3;1;76.54;1;2;3;1;2
1;1;5;3;1;1;4;;;1;3;1;75.87;1;2;3;1;2
2;2;4;2;1;1;3;3;5;;;2;70.1;2;1;3;2;4
2;2;2;2;5;1;5;1;1;;;2;50.15;2;1;3;2;4
2;2;5;2;2;1;4;;;1;1;2;29.25;2;2;3;1;5
2;2;3;2;2;1;4;1;1;;;2;80.03;2;1;3;4;5
2;2;2;2;1;1;5;;;1;1;1;32.17;2;2;1;3;5
2;2;3;2;3;2;1;1;1;;;2;50.8;2;1;3;1;5
1;1;;1;1;1;1;;;1;1;1;70.27;2;1;3;1;4
2;2;2;2;5;1;1;3;5;;;2;60;2;1;2;2;5
2;2;3;1;4;2;4;;;1;2;2;31.62;2;1;3;2;5
2;2;3;2;4;1;2;3;5;;;2;85.88;2;2;4;4;2
;;;;;;;;;;;;;;;;;
2;1;3;2;4;1;4;1;1;;;2;27.97;2;1;3;1;4
2;1;4;2;4;1;4;;;3;5;2;90.08;2;1;3;1;5
2;1;5;2;1;2;1;2;1;;;2;80.74;2;1;3;1;4
2;2;2;2;1;1;1;;;2;1;1;51.86;2;2;3;4;5
2;2;3;2;2;1;1;;;1;2;2;79.74;2;1;4;2;4
1;1;4;;;;1;;2;;;4;;;4;1;4;1
2;2;5;1;3;1;3;;;1;1;5;0;2;1;2;1;2
2;1;2;2;4;3;5;1;2;;;2;;2;1;3;1;5
2;1;5;2;4;1;2;1;2;;;1;70.45;1;2;2;4;2
2;2;3;4;5;2;4;;;1;2;3;100;1;1;2;2;5
2;2;4;2;4;1;1;;;1;2;3;100;2;2;5;5;3
2;1;5;2;1;1;3;1;1;;;2;49.85;1;1;4;5;5
2;2;4;2;1;1;3;;;1;1;3;100;3;2;3;4;5
2;2;4;3;4;2;4;;;1;2;2;80.03;2;1;2;3;2
1;1;5;2;1;1;;;;1;3;4;;1;1;2;5;1
2;2;2;2;4;1;2;3;5;;;2;80.39;1;1;2;2;5
2;2;4;2;4;1;4;1;2;;;2;80.16;2;1;2;2;2
2;2;3;1;4;2;3;;;1;1;2;94.93;1;2;2;2;5
2;2;4;2;1;1;2;2;4;;;2;94.9;2;2;3;3;5
2;1;4;2;4;3;4;1;1;;;2;50.24;2;1;3;2;5
2;2;2;2;3;1;3;;;1;2;2;80.71;1;2;3;2;4
2;1;4;1;4;2;4;3;5;;;1;95.18;1;2;2;1;5
2;1;5;3;1;5;1;;;2;4;2;80.3;2;1;3;2;4
2;2;4;2;4;2;1;3;2;;;2;45.34;4;2;3;2;4
2;2;3;2;4;2;2;;;3;1;2;70.15;1;2;3;2;2
2;2;1;2;4;2;4;;;3;5;1;50.88;2;1;2;1;5
2;1;1;1;5;1;2;1;2;;;2;100;2;1;3;1;2
2;2;2;2;2;1;3;;;1;1;2;25.Jun;1;2;3;3;4
1;1;5;4;2;2;2;1;2;;;2;20.26;1;2;3;2;4
2;2;3;4;4;4;5;;;1;3;2;;1;2;2;2;3
2;1;2;1;4;1;1;;;3;5;2;60.72;1;2;2;2;4
2;2;3;3;5;2;4;1;2;;;2;58.81;2;1;2;;4
2;1;3;1;4;3;3;;;1;1;1;50.09;1;2;2;1;4
2;2;3;2;2;1;1;1;2;;;2;;2;2;3;4;4
2;1;3;1;4;1;4;1;2;;;2;34.49;2;2;3;;2
2;1;3;2;2;2;3;;;1;1;2;60.67;2;5;4;2;4
2;2;3;2;4;1;2;3;2;;;2;70.77;2;2;3;4;4
2;2;2;1;2;2;1;;;1;2;2;40.51;2;1;2;2;3
2;2;3;2;2;1;3;;;1;1;2;66.89;2;1;3;2;4
2;2;2;2;4;1;2;3;5;;;1;80.74;2;1;2;1;4
1;2;5;2;1;1;4;1;1;;;5;20.51;1;4;3;5;2
2;1;3;1;1;1;1;;;1;1;2;100;1;2;3;2;4
2;1;4;2;3;3;3;1;2;;;2;100;2;1;3;1;2
2;2;3;1;2;1;4;;;1;1;1;30.25;2;4;3;3;2
2;2;3;1;4;1;1;;;1;2;1;58.2;2;1;3;1;4
2;2;3;2;4;1;3;3;5;;;3;70.18;2;3;3;2;4
2;1;3;1;4;2;2;1;1;;;2;61.13;1;1;2;5;2
2;2;1;2;5;1;1;;;3;1;2;92.19;1;2;3;2;4
2;2;3;2;3;3;3;2;1;;;3;78.51;1;2;3;5;2
2;2;4;2;5;1;5;;;1;1;4;100;2;1;2;1;4
2;1;2;1;3;1;1;1;2;;;2;80.39;1;2;3;3;4
2;2;4;1;2;2;2;;;3;1;2;82.48;2;1;3;1;4
2;1;3;1;1;1;1;2;2;;;2;65.01;1;2;2;3;4
2;2;2;3;4;1;4;1;2;;;2;80.06;2;1;2;3;4
2;2;4;2;2;3;4;;;1;1;2;62.09;2;1;3;2;5
2;2;1;1;2;2;2;;;2;4;3;43.58;2;2;4;2;4
2;2;2;1;3;4;3;3;3;;;2;42.39;2;1;2;1;2
2;2;3;2;4;1;3;;;1;2;3;75.5;2;1;4;4;5
2;1;3;1;1;1;3;;;1;1;2;;2;1;2;1;5
2;1;4;1;3;3;3;2;4;;;1;70.51;1;2;4;4;4
2;2;2;3;4;3;3;;;1;3;2;75.16;2;2;3;2;2
2;2;3;2;4;4;3;2;4;;;2;100;1;2;3;2;5
2;1;;2;4;1;2;1;2;;;2;99.04;2;1;2;1;5
2;2;3;2;3;1;3;;;1;1;4;70.74;2;1;2;2;4
2;2;4;2;4;2;3;;;3;5;2;90.2;1;2;3;2;5
2;1;4;2;5;1;5;1;1;;;2;86.6;2;1;3;3;4
2;2;3;2;2;1;4;;;3;5;2;89.46;2;1;3;3;5
2;2;4;2;3;1;2;3;5;;;2;75.03;2;1;4;1;4
2;2;5;2;5;1;3;;;1;1;2;41.4;2;1;3;1;4
2;2;2;2;2;2;4;;;3;1;2;70.12;1;4;3;4;2
2;2;3;2;4;2;5;1;1;;;3;50.8;2;1;1;1;4
2;1;3;2;2;1;2;3;4;;;2;80.07;2;1;2;2;4
2;2;3;3;5;3;4;;;1;2;2;81.09;1;1;3;2;4
2;2;4;2;2;1;4;1;2;;;1;89.97;2;1;4;3;4
2;2;5;1;1;1;4;;;1;1;3;57.88;2;1;3;2;4
2;2;2;2;4;1;3;;;1;1;2;90.87;2;1;3;2;2
2;2;4;2;2;2;1;2;4;;;2;85.19;2;1;3;4;4
2;2;4;2;2;1;2;;;3;2;2;90.08;2;4;2;4;2
2;2;3;1;3;1;3;1;1;;;2;85.24;2;3;4;1;4
2;1;2;2;3;1;1;;;1;2;2;76.39;2;1;3;1;2
2;2;2;2;2;1;4;;;1;1;2;84.78;2;1;2;2;5
1;2;5;1;2;1;3;3;3;;;1;35.05;2;1;3;2;5
2;2;2;2;5;1;5;1;1;;;2;70.1;1;1;2;2;3
2;2;3;2;2;1;2;;;3;5;2;49.87;2;1;3;2;5
2;2;2;2;4;1;3;1;2;;;3;40.08;1;2;3;4;5
2;1;4;2;4;2;4;;;1;1;2;100;2;2;3;5;5
2;2;2;2;2;1;3;;;1;1;2;60.13;2;1;2;2;3
2;2;5;2;4;3;4;3;1;;;2;60.05;1;1;3;2;4
2;2;3;2;5;1;2;;;3;5;1;85.07;2;1;3;1;4
2;1;3;2;5;3;4;1;1;;;2;75.56;2;1;2;2;4
2;2;2;1;1;4;1;;;1;4;2;100;1;1;1;2;2
2;2;2;2;4;1;2;1;1;;;2;43.28;1;2;3;1;4
2;2;3;2;3;2;4;;;1;2;3;76.27;1;2;3;4;4
2;2;3;2;1;1;1;;;3;1;2;;2;1;2;2;4
2;2;5;2;3;1;4;1;5;;;1;;2;3;4;5;4
2;2;2;4;3;2;4;;;1;1;1;89.86;2;2;5;2;4
2;2;5;1;1;1;1;2;1;;;3;;1;1;3;3;4
1;1;5;2;2;1;3;1;1;;;3;70.15;1;1;2;2;5
2;2;4;2;3;1;5;;;1;1;2;80.39;2;1;3;5;4
2;2;3;1;3;2;3;;;1;1;1;94.93;2;1;4;2;5
2;2;3;2;4;2;2;1;2;;;2;100;2;2;2;5;2
2;2;2;3;5;1;5;;;1;1;3;82.32;3;1;3;2;4
2;2;2;2;5;1;3;1;1;;;2;80.06;2;1;3;4;5
2;1;2;2;3;1;4;1;1;;;2;30.55;2;1;3;4;4
2;1;5;1;3;5;4;;;2;4;3;55.31;1;2;4;4;5
2;1;3;1;4;3;3;2;4;;;2;85.39;1;1;3;2;5
2;2;2;3;3;1;4;;;3;3;3;70.11;2;1;3;3;2
2;2;3;2;1;1;4;;;1;1;2;85.1;2;1;3;2;5
2;2;3;2;3;1;5;1;2;;;2;85.37;2;1;3;2;5
2;2;3;3;4;1;4;1;1;;;2;50.45;1;2;3;3;5
2;2;4;1;4;1;1;;;3;5;1;75.16;2;2;3;3;5
2;2;2;2;4;3;2;;;3;2;1;87.13;1;2;4;4;5
2;2;2;1;4;3;3;2;2;;;2;69.77;2;2;2;4;4
2;2;4;2;2;1;3;1;2;;;2;94.59;1;1;3;2;5
2;2;2;2;5;1;3;;;1;1;2;70.91;1;3;4;5;2
2;2;3;2;2;1;1;;;1;1;2;90.08;2;2;3;3;5
2;2;3;2;3;1;4;1;1;;;2;84.24;2;1;3;2;5
2;2;3;2;4;1;3;3;5;;;1;82.04;1;1;3;5;5
2;1;4;3;2;1;2;;;1;2;1;80.43;1;2;4;2;5
2;1;3;2;4;2;3;3;2;;;3;79.49;1;4;4;5;5
2;2;3;2;3;1;2;;;3;5;2;91.15;1;2;3;4;5
2;2;3;2;3;2;3;3;5;;;2;60.59;2;1;3;1;5
2;2;3;2;4;1;5;;;1;1;3;60.3;1;1;4;2;5
2;2;2;2;3;1;2;1;1;;;3;75.24;2;1;3;2;5
2;1;3;2;4;1;1;;;3;5;2;90.45;2;1;2;2;5
2;2;3;1;2;1;3;1;1;;;2;75.07;1;1;3;1;5
;;;;;;;;;;;;;;;;;
2;1;4;2;4;1;3;3;4;;;2;100;1;1;4;5;4
2;2;5;3;4;2;2;;;3;1;2;75.68;2;1;2;5;4
2;2;3;2;1;1;3;1;2;;;2;95.52;2;1;4;4;5
2;2;5;1;2;2;1;;;2;2;4;70.45;2;1;2;2;2
2;1;4;1;3;3;3;1;1;;;2;44.7;1;1;3;1;2
2;2;3;3;5;1;1;;;3;5;2;90.08;1;2;3;2;5
2;1;3;2;2;1;4;;;1;1;2;90.03;1;2;3;2;5
2;2;2;2;4;3;4;;;2;2;2;50.8;2;1;3;2;2
2;2;5;2;1;1;3;3;5;;;1;75.2;1;1;2;4;2
2;2;5;4;4;5;2;;;2;1;4;27.71;1;2;2;4;1
2;2;3;1;1;1;5;1;2;;;2;50;1;4;4;5;3